2024-01-06 14:48:32,174 INFO    Thread-12 :64346 [dir_watcher.py:_on_file_modified():288] file/dir modified: /Users/curtispond/Documents/wandb/wandb/run-20240106_144825-7cpiic6o/files/conda-environment.yaml
2024-01-06 14:48:32,174 INFO    Thread-12 :64346 [dir_watcher.py:_on_file_created():271] file/dir created: /Users/curtispond/Documents/wandb/wandb/run-20240106_144825-7cpiic6o/files/wandb-metadata.json
2024-01-06 14:48:32,323 INFO    wandb-upload_0:64346 [upload_job.py:push():131] Uploaded file /var/folders/02/t1w3xsh916z60p5jhmd5xbc00000gn/T/tmpruttogeywandb/ggb5qkqv-wandb-metadata.json
2024-01-06 14:48:32,568 INFO    HandlerThread:64346 [interfaces.py:finish():202] Joined gpuapple monitor
2024-01-06 14:48:32,568 INFO    HandlerThread:64346 [interfaces.py:finish():202] Joined memory monitor
2024-01-06 14:48:32,568 INFO    HandlerThread:64346 [interfaces.py:finish():202] Joined network monitor
2024-01-06 14:48:32,569 DEBUG   SenderThread:64346 [sender.py:send():382] send: telemetry
2024-01-06 14:48:32,569 DEBUG   SenderThread:64346 [sender.py:send():382] send: stats
2024-01-06 14:48:36,585 DEBUG   HandlerThread:64346 [handler.py:handle_request():146] handle_request: status_report
2024-01-06 14:48:41,598 DEBUG   HandlerThread:64346 [handler.py:handle_request():146] handle_request: status_report
2024-01-06 14:48:46,612 DEBUG   HandlerThread:64346 [handler.py:handle_request():146] handle_request: status_report
2024-01-06 14:48:46,774 DEBUG   HandlerThread:64346 [handler.py:handle_request():146] handle_request: internal_messages
2024-01-06 14:48:46,776 DEBUG   HandlerThread:64346 [handler.py:handle_request():146] handle_request: stop_status
2024-01-06 14:48:46,778 DEBUG   SenderThread:64346 [sender.py:send_request():409] send_request: stop_status
2024-01-06 14:48:51,985 DEBUG   HandlerThread:64346 [handler.py:handle_request():146] handle_request: status_report
2024-01-06 14:48:57,004 DEBUG   HandlerThread:64346 [handler.py:handle_request():146] handle_request: status_report
2024-01-06 14:48:57,280 INFO    Thread-12 :64346 [dir_watcher.py:_on_file_modified():288] file/dir modified: /Users/curtispond/Documents/wandb/wandb/run-20240106_144825-7cpiic6o/files/config.yaml
2024-01-06 14:49:01,777 DEBUG   HandlerThread:64346 [handler.py:handle_request():146] handle_request: internal_messages
2024-01-06 14:49:01,780 DEBUG   HandlerThread:64346 [handler.py:handle_request():146] handle_request: stop_status
2024-01-06 14:49:01,781 DEBUG   SenderThread:64346 [sender.py:send_request():409] send_request: stop_status
2024-01-06 14:49:02,885 DEBUG   HandlerThread:64346 [handler.py:handle_request():146] handle_request: status_report
2024-01-06 14:49:07,903 DEBUG   HandlerThread:64346 [handler.py:handle_request():146] handle_request: status_report
2024-01-06 14:49:12,925 DEBUG   HandlerThread:64346 [handler.py:handle_request():146] handle_request: status_report
2024-01-06 14:49:16,778 DEBUG   HandlerThread:64346 [handler.py:handle_request():146] handle_request: internal_messages
2024-01-06 14:49:16,783 DEBUG   HandlerThread:64346 [handler.py:handle_request():146] handle_request: stop_status
2024-01-06 14:49:16,784 DEBUG   SenderThread:64346 [sender.py:send_request():409] send_request: stop_status
